title,url,published
"Crypto Daybook Americas: Bitcoin's Haven Claim Hit as U.S., China Face Off Over Tariffs",https://www.coindesk.com/daybook-us/2025/04/08/crypto-daybook-americas-bitcoin-s-haven-claim-hit-as-u-s-china-face-off-over-tariffs,"Tue, 08 Apr 2025 11:15:00 +0000"
The All-Important U.S. 10-Year Yield Is Moving in the Wrong Direction for Trump,https://www.coindesk.com/markets/2025/04/08/the-all-important-u-s-10-year-yield-is-moving-in-the-wrong-direction-for-trump,"Tue, 08 Apr 2025 09:05:46 +0000"
WazirX Creditors Back Restructuring Plan to Payback $230M Hack Victims,https://www.coindesk.com/markets/2025/04/08/wazirx-creditors-back-restructuring-plan-to-payback-usd230m-hack-victims,"Tue, 08 Apr 2025 07:59:07 +0000"
Cboe Set to Debut New Bitcoin Futures With FTSE Russell,https://www.coindesk.com/markets/2025/04/08/cboe-set-to-debut-new-bitcoin-futures-with-ftse-russell,"Tue, 08 Apr 2025 07:35:08 +0000"
"XRP, Dogecoin Surge 10% as Crypto Markets Stage Relief Rally",https://www.coindesk.com/markets/2025/04/08/xrp-dogecoin-surge-10-as-crypto-markets-stage-relief-rally,"Tue, 08 Apr 2025 07:19:04 +0000"
First XRP ETF in the U.S. to Go Live on Tuesday With Launch of Teucrium’s Leveraged Fund,https://www.coindesk.com/markets/2025/04/08/first-xrp-etf-in-the-u-s-to-go-live-on-tuesday-with-launch-of-teucrium-s-leveraged-fund,"Tue, 08 Apr 2025 06:01:06 +0000"
Bitcoin Analysts Optimistic as China Surprisingly Fixes Yuan Beyond 7.2 Level,https://www.coindesk.com/markets/2025/04/08/bitcoin-analysts-optimistic-as-china-surprisingly-fixes-yuan-beyond-7-2-level,"Tue, 08 Apr 2025 05:19:04 +0000"
"Galaxy Digital Gets SEC Nod for U.S. Listing, Eyes Nasdaq Debut in May",https://www.coindesk.com/business/2025/04/07/galaxy-digital-gets-sec-nod-for-u-s-listing-eyes-nasdaq-debut-in-may,"Mon, 07 Apr 2025 22:00:45 +0000"
"Ripple, BCG Project $18.9T Tokenized Asset Market by 2033",https://www.coindesk.com/markets/2025/04/07/ripple-bcg-project-usd18-9t-tokenized-asset-market-by-2033-but-obstacles-remain,"Mon, 07 Apr 2025 20:09:46 +0000"
"Pierre Rochard, the Bitcoin Maximalist OG, on Mining, Markets and Modern Finance",https://www.coindesk.com/consensus-toronto-2025-coverage/2025/04/07/pierre-rochard-the-bitcoin-maximalist-og-on-mining-markets-and-modern-finance,"Mon, 07 Apr 2025 19:55:03 +0000"
